variable,model,n,top5_hit,top25_hit,exact_hit,mean_nlp,mean_p_act
QS_1,Analytical,365,0.4795,0.9918,0.1123,2.8493,0.0722
QS_1,CatBoost,365,0.4575,0.9918,0.126,2.8746,0.0722
QS_1,Ensemble_XLC,365,0.4329,0.9945,0.1205,2.9175,0.0715
QS_1,HistFreq,365,0.4795,0.9918,0.1123,2.8501,0.0724
QS_1,LightGBM,365,0.4164,0.9945,0.1014,3.0216,0.0709
QS_1,MLP,365,0.4493,0.9918,0.1041,2.8731,0.0716
QS_1,MonteCarlo,365,0.4795,0.9918,0.1123,2.8495,0.0722
QS_1,RandomForest,365,0.4822,0.9918,0.126,2.8626,0.0722
QS_1,TabICLv2,365,0.4795,0.9918,0.1123,2.8587,0.0748
QS_1,XGBoost,365,0.4466,0.989,0.1096,2.9308,0.0715
QS_2,Analytical,365,0.2658,0.9699,0.0493,3.2353,0.043
QS_2,CatBoost,365,0.2548,0.9616,0.0411,3.2708,0.0421
QS_2,Ensemble_XLC,365,0.2411,0.9699,0.0466,3.3206,0.0419
QS_2,HistFreq,365,0.2767,0.9699,0.0493,3.2396,0.0429
QS_2,LightGBM,365,0.2438,0.9534,0.0438,3.4593,0.0421
QS_2,MLP,365,0.2575,0.9671,0.0521,3.2824,0.0424
QS_2,MonteCarlo,365,0.2658,0.9699,0.0493,3.2362,0.043
QS_2,RandomForest,365,0.2904,0.9699,0.0548,3.2488,0.0428
QS_2,TabICLv2,365,0.274,0.9699,0.0521,3.243,0.0436
QS_2,XGBoost,365,0.2438,0.9644,0.0247,3.3391,0.0415
QS_3,Analytical,365,0.2603,0.9288,0.0658,3.3289,0.0391
QS_3,CatBoost,365,0.2301,0.9315,0.0548,3.3281,0.0393
QS_3,Ensemble_XLC,365,0.2274,0.9233,0.0329,3.3674,0.0395
QS_3,HistFreq,365,0.274,0.9288,0.0411,3.3303,0.0389
QS_3,LightGBM,365,0.2329,0.926,0.0301,3.4841,0.04
QS_3,MLP,365,0.211,0.9288,0.0411,3.3359,0.039
QS_3,MonteCarlo,365,0.2603,0.9288,0.0411,3.3287,0.0391
QS_3,RandomForest,365,0.2849,0.9288,0.0548,3.3286,0.0392
QS_3,TabICLv2,365,0.2548,0.9288,0.0493,3.3317,0.0394
QS_3,XGBoost,365,0.2356,0.9205,0.0274,3.3832,0.0393
QS_4,Analytical,365,0.2849,0.9644,0.0329,3.2209,0.0437
QS_4,CatBoost,365,0.2658,0.9644,0.0877,3.2283,0.0439
QS_4,Ensemble_XLC,365,0.2712,0.9644,0.0438,3.4243,0.0404
QS_4,HistFreq,365,0.2849,0.9644,0.0329,3.2245,0.0436
QS_4,LightGBM,365,0.1726,0.7507,0.0411,12.0212,0.0321
QS_4,MLP,365,0.2932,0.9644,0.0493,3.2406,0.0431
QS_4,MonteCarlo,365,0.2877,0.9644,0.0329,3.2201,0.0437
QS_4,RandomForest,365,0.2658,0.9644,0.0548,3.2286,0.0435
QS_4,TabICLv2,365,0.2849,0.9644,0.0329,3.2241,0.0443
QS_4,XGBoost,365,0.2849,0.9562,0.0658,3.2644,0.0451
QS_5,Analytical,365,0.5041,1.0,0.1315,2.7979,0.0749
QS_5,CatBoost,365,0.4767,1.0,0.1151,2.8059,0.0747
QS_5,Ensemble_XLC,365,0.4822,1.0,0.1123,2.8533,0.0749
QS_5,HistFreq,365,0.5041,1.0,0.1315,2.8021,0.0745
QS_5,LightGBM,365,0.4356,1.0,0.1041,3.2464,0.0743
QS_5,MLP,365,0.5041,0.9973,0.1205,2.8196,0.0765
QS_5,MonteCarlo,365,0.5041,1.0,0.1315,2.7984,0.075
QS_5,RandomForest,365,0.4986,1.0,0.1233,2.8026,0.0748
QS_5,TabICLv2,365,0.5041,1.0,0.1315,2.8005,0.0767
QS_5,XGBoost,365,0.4795,1.0,0.1288,2.8394,0.0756
